SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,BOARD_NAME,BOARD_CODE,TRADE_MARKET,SECURITY_TYPE,五行属性
000001.SZ,000001,平安银行,银行Ⅱ,BK0475,深交所主板,A股,金
000002.SZ,000002,万科A,房地产开发,BK0451,深交所主板,A股,土
000006.SZ,000006,深振业A,房地产开发,BK0451,深交所主板,A股,土
000007.SZ,000007,全新好,一般零售,BK0482,深交所主板,A股,水
000008.SZ,000008,神州高铁,轨交设备Ⅱ,BK1236,深交所主板,A股,金
000009.SZ,000009,中国宝安,综合Ⅱ,BK0539,深交所主板,A股,木
000010.SZ,000010,*ST美丽,基础建设,BK1247,深交所风险警示板,A股,土
000011.SZ,000011,深物业A,房地产开发,BK0451,深交所主板,A股,土
000012.SZ,000012,南玻A,玻璃玻纤,BK0546,深交所主板,A股,土
000014.SZ,000014,沙河股份,房地产开发,BK0451,深交所主板,A股,土
000016.SZ,000016,*ST康佳A,白色家电,BK1239,深交所风险警示板,A股,金
000019.SZ,000019,深粮控股,农产品加工,BK1256,深交所主板,A股,水
000020.SZ,000020,深华发A,光学光电子,BK1038,深交所主板,A股,火
000025.SZ,000025,特力A,综合Ⅱ,BK0539,深交所主板,A股,木
000026.SZ,000026,飞亚达,饰品,BK0734,深交所主板,A股,金
000027.SZ,000027,深圳能源,电力,BK0428,深交所主板,A股,火
000028.SZ,000028,国药一致,医药商业,BK1042,深交所主板,A股,水
000029.SZ,000029,深深房A,房地产开发,BK0451,深交所主板,A股,土
000030.SZ,000030,富奥股份,汽车零部件,BK0481,深交所主板,A股,金
000031.SZ,000031,大悦城,房地产开发,BK0451,深交所主板,A股,土
000032.SZ,000032,深桑达A,专业工程,BK1248,深交所主板,A股,土
000034.SZ,000034,神州数码,IT服务Ⅱ,BK1238,深交所主板,A股,火
000035.SZ,000035,中国天楹,环境治理,BK1235,深交所主板,A股,木
000036.SZ,000036,华联控股,房地产开发,BK0451,深交所主板,A股,土
000037.SZ,000037,深南电A,电力,BK0428,深交所主板,A股,火
000039.SZ,000039,中集集团,通用设备,BK0545,深交所主板,A股,金
000042.SZ,000042,中洲控股,房地产开发,BK0451,深交所主板,A股,土
000045.SZ,000045,深纺织A,光学光电子,BK1038,深交所主板,A股,火
000048.SZ,000048,京基智农,养殖业,BK1259,深交所主板,A股,水
000049.SZ,000049,德赛电池,电池,BK1033,深交所主板,A股,火
000050.SZ,000050,深天马A,光学光电子,BK1038,深交所主板,A股,火
000055.SZ,000055,方大集团,装修建材,BK0476,深交所主板,A股,土
000056.SZ,000056,*ST皇庭,房地产服务,BK1045,深交所风险警示板,A股,土
000058.SZ,000058,深赛格,一般零售,BK0482,深交所主板,A股,水
000059.SZ,000059,华锦股份,炼化及贸易,BK1274,深交所主板,A股,水
000060.SZ,000060,中金岭南,工业金属,BK1287,深交所主板,A股,金
000062.SZ,000062,深圳华强,其他电子Ⅱ,BK1223,深交所主板,A股,火
000063.SZ,000063,中兴通讯,通信设备,BK0448,深交所主板,A股,火
000065.SZ,000065,北方国际,专业工程,BK1248,深交所主板,A股,土
000066.SZ,000066,中国长城,计算机设备,BK0735,深交所主板,A股,火
000068.SZ,000068,华控赛格,环境治理,BK1235,深交所主板,A股,木
000069.SZ,000069,华侨城A,房地产开发,BK0451,深交所主板,A股,土
000070.SZ,000070,特发信息,通信设备,BK0448,深交所主板,A股,火
000078.SZ,000078,ST海王,医药商业,BK1042,深交所风险警示板,A股,水
000088.SZ,000088,盐田港,航运港口,BK0450,深交所主板,A股,水
000089.SZ,000089,深圳机场,航空机场,BK0420,深交所主板,A股,金
000090.SZ,000090,天健集团,房地产开发,BK0451,深交所主板,A股,土
000096.SZ,000096,广聚能源,炼化及贸易,BK1274,深交所主板,A股,水
000099.SZ,000099,中信海直,航空机场,BK0420,深交所主板,A股,金
000100.SZ,000100,TCL科技,光学光电子,BK1038,深交所主板,A股,火
000151.SZ,000151,中成股份,贸易Ⅱ,BK0484,深交所主板,A股,水
000153.SZ,000153,丰原药业,化学制药,BK0465,深交所主板,A股,水
000155.SZ,000155,川能动力,电力,BK0428,深交所主板,A股,火
000156.SZ,000156,华数传媒,电视广播Ⅱ,BK1219,深交所主板,A股,木
000157.SZ,000157,中联重科,工程机械,BK0739,深交所主板,A股,金
000158.SZ,000158,常山北明,IT服务Ⅱ,BK1238,深交所主板,A股,火
000159.SZ,000159,国际实业,炼化及贸易,BK1274,深交所主板,A股,水
000166.SZ,000166,申万宏源,证券Ⅱ,BK0473,深交所主板,A股,金
000301.SZ,000301,东方盛虹,炼化及贸易,BK1274,深交所主板,A股,水
000333.SZ,000333,美的集团,白色家电,BK1239,深交所主板,A股,金
000338.SZ,000338,潍柴动力,汽车零部件,BK0481,深交所主板,A股,金
000400.SZ,000400,许继电气,电网设备,BK0457,深交所主板,A股,金
000401.SZ,000401,金隅冀东,水泥,BK0424,深交所主板,A股,土
000402.SZ,000402,金融街,房地产开发,BK0451,深交所主板,A股,土
000404.SZ,000404,长虹华意,家电零部件Ⅱ,BK1242,深交所主板,A股,金
000407.SZ,000407,胜利股份,燃气Ⅱ,BK1028,深交所主板,A股,火
